query_keyid,query_start,neighbor_rank,neighbor_keyid,neighbor_start,sim_score
1,0,1,3252,1500,0.9874089360237122
1,0,2,3251,1500,0.9874089360237122
1003,0,1,3017,1000,0.9969527125358582
1003,0,2,943,300,0.9967033863067627
1016,0,1,2700,0,0.9999999403953552
1016,0,2,242,100,0.9997276067733765
1021,0,1,2706,0,0.9999998807907104
1021,0,2,2259,800,0.9520655870437622
1025,0,1,1025,0,0.9999995827674866
1025,0,2,2710,0,0.9999995827674866
1031,0,1,1031,0,0.9999999403953552
1031,0,2,2732,100,0.9996707439422607
1035,0,1,1035,0,0.9999998807907104
1035,0,2,6818,100,0.9995936155319214
1039,0,1,1039,0,0.9999998211860657
1039,0,2,2723,100,0.9999133944511414
1039,100,1,2723,100,1.0000004768371582
1039,100,2,2723,0,0.9999135136604309
1052,0,1,1052,0,1.000000238418579
1052,0,2,6775,200,0.9994708299636841
1052,100,1,1052,100,0.9999998211860657
1052,100,2,1031,0,0.9996707439422607
1056,0,1,1056,0,0.9999992847442627
1056,0,2,2738,0,0.9995948076248169
1056,100,1,2736,100,0.9999999403953552
1056,100,2,2738,0,0.999850869178772
1063,0,1,1063,0,0.9999999403953552
1063,0,2,2743,0,0.9999999403953552
1063,100,1,1063,100,0.9999998807907104
1063,100,2,3261,1500,0.9970918297767639
1064,0,1,1063,0,0.9999999403953552
1064,0,2,1064,0,0.9999998807907104
1066,0,1,1066,0,0.9999998211860657
1066,0,2,3592,400,0.9986333847045898
107,0,1,107,100,0.9999038577079773
107,0,2,6011,800,0.9973201751708984
107,100,1,107,0,0.9999038577079773
107,100,2,6011,800,0.9974438548088074
1070,0,1,2750,0,1.000000238418579
1070,0,2,1281,1000,0.9995602369308472
1070,100,1,2750,100,1.0000001192092896
1070,100,2,3030,700,0.999253511428833
1093,0,1,2769,0,0.9999998807907104
1093,0,2,1788,1400,0.9996655583381653
1119,0,1,2792,0,0.9999999403953552
1119,0,2,7190,0,0.9991695284843445
112,0,1,1312,900,0.9733189940452576
112,0,2,1171,800,0.9713445901870728
1123,0,1,2795,0,0.9999998211860657
1123,0,2,3597,600,0.9991900324821472
1126,0,1,2799,0,1.0
1126,0,2,674,0,0.9995620250701904
1130,0,1,1130,0,0.9999997615814209
1130,0,2,2926,200,0.9995922446250916
1133,0,1,1133,0,1.0000001192092896
1133,0,2,2054,0,0.9981072545051575
1136,0,1,1136,0,0.9999998211860657
1136,0,2,1366,200,0.9993904232978821
1141,0,1,1141,0,0.9999996423721313
1141,0,2,7129,0,0.9989544749259949
1145,0,1,1145,0,1.000000238418579
1145,0,2,1244,200,0.9992095232009888
1151,0,1,2828,0,1.0
1151,0,2,1447,700,0.971203088760376
1155,0,1,2832,0,0.9999998211860657
1155,0,2,3014,300,0.9999721050262451
1155,100,1,1155,100,1.0000001192092896
1155,100,2,1157,0,0.999999463558197
1157,0,1,2832,100,0.9999995231628418
1157,0,2,1155,100,0.999999463558197
1159,0,1,2837,0,0.9999997019767761
1159,0,2,2961,700,0.9941631555557251
1163,0,1,1163,0,1.000000238418579
1163,0,2,1163,100,0.9999557137489319
1163,100,1,2844,100,0.9999993443489075
1163,100,2,2847,0,0.9999992847442627
1168,0,1,2848,0,0.9999997019767761
1168,0,2,2314,0,0.9819416999816895
1168,100,1,2848,100,0.9999997615814209
1168,100,2,1507,600,0.9989057779312134
1171,0,1,1680,1400,0.9980097413063049
1171,0,2,1447,800,0.9976897835731506
1171,100,1,5158,0,0.9986609220504761
1171,100,2,1535,0,0.9982187747955322
1171,200,1,1535,500,0.9989665150642395
1171,200,2,1410,1300,0.9985255599021912
1171,300,1,1171,400,0.9998517036437988
1171,300,2,3058,1600,0.999157726764679
1171,400,1,1171,300,0.9998517036437988
1171,400,2,3057,1600,0.9991508722305298
1171,500,1,1347,600,0.9989935159683228
1171,500,2,5587,100,0.9988946914672852
1171,600,1,3591,0,0.996655285358429
1171,600,2,3592,0,0.9966552257537842
1171,700,1,2054,1900,0.9976360201835632
1171,700,2,6251,100,0.9963453412055969
1171,800,1,6251,100,0.996687114238739
1171,800,2,1312,900,0.9949876666069031
1171,900,1,3058,100,0.9985769987106323
1171,900,2,3057,100,0.9985768795013428
1171,1000,1,1895,1500,0.9951524138450623
1171,1000,2,1421,1000,0.9950432777404785
1171,1100,1,2986,1500,0.9907726645469666
1171,1100,2,1347,0,0.9904026985168457
1171,1200,1,1654,2000,0.9702762365341187
1171,1200,2,1654,1700,0.9677482843399048
1171,1300,1,2020,1900,0.9782098531723022
1171,1300,2,2020,1800,0.9734780192375183
1171,1400,1,1171,1500,0.9969845414161682
1171,1400,2,1184,0,0.9969615340232849
1171,1500,1,1184,0,0.9999460577964783
1171,1500,2,1171,1400,0.9969845414161682
1184,0,1,1171,1500,0.9999460577964783
1184,0,2,1171,1400,0.9969615340232849
1185,0,1,1484,0,0.9990688562393188
1185,0,2,1421,0,0.9990420937538147
1185,100,1,1457,0,0.9984679818153381
